name,address,gasoline,diesel
대보건설(주) 성남(구리방향)주유소,경기 성남시 수정구 산성대로 41,1672,1512
아시아셀프주유소,경기 성남시 중원구 둔촌대로 235 (하대원동),1684,1534
하이테크에너지(주),경기 성남시 중원구 순환로 128,1685,1535
지에스칼텍스㈜직영 성남제일주유소,경기 성남시 수정구 성남대로 1268 (태평동),1689,1579
(유)동하석유 송파IC주유소,경기 성남시 수정구 헌릉로 893,1693,1563
엑스포주유소 (주)해성에너지,경기 성남시 중원구 순환로 75 (상대원동),1695,1535
산성주유소,경기 성남시 수정구 산성대로 607 (양지동),1695,1555
가야주유소,경기 성남시 중원구 경충대로 2590 (갈현동),1695,1545
이루고에너지,경기 성남시 중원구 경충대로 2441 (갈현동),1695,1545
섬마을주유소,경기 성남시 중원구  희망로 87 (도촌동),1697,1567
지에스칼텍스㈜ 하대원주유소,경기 성남시 중원구 둔촌대로 200,1698,1538
남선석유㈜ 구도일주유소 해성,경기 성남시 중원구 제일로 14 (하대원동),1698,1538
MOT플러스,경기 성남시 수정구 산성대로 463 (단대동),1698,1568
분당탑주유소,경기 성남시 분당구 판교로 751 (야탑동),1704,1560
(주)삼표에너지 야탑주유소,경기 성남시 분당구 돌마로 910,1704,1560
분당로마도시고속주유소,경기 성남시 분당구 수내로 2 (수내동),1706,1596
분당로주유소,경기 성남시 분당구 대왕판교로 381 (백현동),1709,1545
궁내동주유소,경기 성남시 분당구 대왕판교로 270,1709,1555
㈜헨지스에너지 구도일주유소 톨게이트,경기 성남시 분당구 대왕판교로 263,1709,1545
SK공단주유소,경기 성남시 중원구 둔촌대로 413,1718,1609
HD현대오일뱅크㈜직영 지알씨주유소,경기 성남시 분당구 성남대로407번길 13,1718,1598
SK에너지(주) 단대주유소,경기 성남시 수정구 희망로 530 (산성동),1719,1569
NH하나로주유소,경기 성남시 분당구 성남대로43번길 11,1720,1559
판교하이웨이주유소,경기 성남시 수정구 대왕판교로 1015,1724,1564
한강에너지(주),경기 성남시 중원구 여수대로 147 (여수동),1725,1565
HD현대오일뱅크㈜직영 위례현대주유소,경기 성남시 수정구 성남대로 1529,1727,1585
㈜소모 동화주유소,경기 성남시 분당구 돌마로 176 (정자동),1728,1598
HD현대오일뱅크㈜직영 남문주유소,경기 성남시 수정구 성남대로 1301 (태평동),1729,1599
SK KH에너지 판교모드니주유소,경기 성남시 분당구 동판교로 42 (백현동),1737,1617
HD현대오일뱅크㈜직영 경원셀프주유소,경기 성남시 수정구 성남대로 1414 (복정동),1739,1595
금광주유소,경기 성남시 중원구 금상로 79 (금광동),1755,1599
구도일주유소 성남,경기 성남시 중원구 갈마치로 233 (상대원동),1758,1535
㈜오일플라자 성남지점 돌마주유소,경기 성남시 중원구 둔촌대로 295 (하대원동),1758,1627
e-푸른주유소,경기 성남시 수정구 성남대로 1482 (복정동),1759,1628
분당제일에너지,경기 성남시 수정구 여수대로 32,1759,1619
청계산주유소,경기 성남시 수정구 청계산로 458 (상적동),1759,1619
희성석유(주)금곡,경기 성남시 분당구 불정로 1 (정자동),1768,1615
(주)남경석유 분당스타self주유소,경기 성남시 분당구 새마을로 65,1769,1609
(주)새서울석유 동판교주유소,경기 성남시 수정구 대왕판교로 1002 (고등동),1769,1637
판교주유소,경기 성남시 분당구 운중로 263,1775,1627
이원주유소,경기 성남시 중원구 광명로 368 (금광동),1775,1599
상대원주유소,경기 성남시 중원구 희망로 352,1775,1615
SK에너지(주) 스타팅광동주유소,경기 성남시 분당구 대왕판교로644번길 43,1777,1617
시티홀오일프라자,경기 성남시 중원구 여수대로 200,1777,1637
판교서일주유소,경기 성남시 분당구 판교로 315 (삼평동),1777,1617
(주)새서울석유 세종,경기 성남시 수정구 여수대로 10 (시흥동),1779,1679
HD현대오일뱅크㈜직영 서현셀프주유소,경기 성남시 분당구 서현로 488 (분당동),1779,1619
HD현대오일뱅크㈜직영 희망주유소,경기 성남시 중원구 희망로 28 (도촌동),1779,1619
SK KH에너지 판교운중주유소,경기 성남시 분당구 동판교로 177 (삼평동),1787,1627
분당대일주유소,경기 성남시 분당구 양현로 312,1787,1617
HD현대오일뱅크㈜직영 이매동셀프주유소,경기 성남시 분당구 성남대로772번길 2 (이매동),1795,1619
HD현대오일뱅크㈜직영 수내동주유소,경기 성남시 분당구 불정로 274 (수내동),1795,1629
(주)새서울석유 신도시주유소,경기 성남시 분당구 황새울로359번길 3,1798,1687
KH에너지(주)직영 분당공원주유소,경기 성남시 분당구 새마을로 27 (서현동),1798,1687
중원에너지 셀프주유소,경기 성남시 중원구 산성대로 336 (중동),1827,1697
서현주유소,경기 성남시 분당구 새마을로 19,1839,1707
수펙스주유소,경기 성남시 분당구 성남대로 71 (구미동),1867,1717
